code,topic,statement,H,p,spread,c0,c1,c2,c3,c4,c5,c6,c7,p_adj
E03,E,Class attendance should be compulsory for all courses.,36.16475138291586,6.7483441417506865e-06,2.111111111111111,-0.6666666666666666,-1.125,-1.4285714285714286,0.3333333333333333,-1.7777777777777777,-1.625,-1.2,0.125,0.0003814165971344658
E11,E,University curricula should be updated more frequently to match emerging technologies.,34.58659775640491,1.3373311529462492e-05,1.1875,1.9166666666666667,1.5,1.8571428571428572,0.75,1.8888888888888888,1.9375,1.5333333333333334,1.625,0.0003814165971344658
V13,V,Companies should be held accountable for the environmental impacts of their activities.,33.76357159371834,1.9070829856723292e-05,1.0833333333333335,0.9166666666666666,1.875,2.0,1.4166666666666667,1.8888888888888888,1.9375,1.7333333333333334,1.875,0.0003814165971344658
S09,S,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,29.346880740149885,0.00012505766330279223,0.8888888888888888,1.0,1.5,1.8571428571428572,1.3333333333333333,1.8888888888888888,1.875,1.3333333333333333,1.125,0.0018758649495418834
T12,T,Governments should introduce stricter regulations for Artificial Intelligence.,28.388894648394313,0.00018691876188316477,2.0634920634920633,1.0833333333333333,0.5,-0.2857142857142857,0.75,1.7777777777777777,1.625,0.9333333333333333,1.5,0.002243025142597977
E10,E,Universities should prioritize innovation and problem-solving over rote learning.,27.66911224021484,0.0002524079307199888,1.0555555555555554,1.3333333333333333,1.875,1.5714285714285714,0.8333333333333334,1.8888888888888888,1.8125,1.6666666666666667,1.25,0.0024841585842429836
E02,E,Traditional written examinations accurately measure a student's knowledge.,27.149936015389713,0.00031319109750634213,1.6666666666666665,0.08333333333333333,-0.875,-0.7142857142857143,0.6666666666666666,-1.0,-0.625,0.6,-0.125,0.0024841585842429836
V14,V,International cooperation is necessary to effectively address environmental challenges.,26.839286520738966,0.0003562200312734883,0.9166666666666667,1.0833333333333333,2.0,2.0,1.0833333333333333,1.8888888888888888,1.6875,1.6666666666666667,1.375,0.0024841585842429836
T14,T,Social media algorithms contribute to opinion polarization.,26.730486370951724,0.00037262378763644753,1.3333333333333335,0.6666666666666666,1.25,1.2857142857142858,1.4166666666666667,2.0,1.75,1.9333333333333333,1.5,0.0024841585842429836
E04,E,High-quality online learning can effectively complement classroom teaching.,25.598637956446183,0.0005939477122407196,1.9464285714285714,-0.25,1.375,1.5714285714285714,0.3333333333333333,-0.3333333333333333,0.8125,0.5333333333333333,-0.375,0.0032596088909767093
V11,V,Technological innovation is essential for addressing environmental challenges.,25.45625694497511,0.0006296447738265373,1.25,0.75,2.0,1.4285714285714286,1.25,1.7777777777777777,1.3125,1.1333333333333333,1.25,0.0032596088909767093
T09,T,Autonomous vehicles will ultimately make transportation safer.,25.371362037503747,0.0006519217781953418,1.75,-0.08333333333333333,0.125,1.0,0.4166666666666667,0.5555555555555556,-0.0625,0.8666666666666667,-0.75,0.0032596088909767093
S12,S,Young people should actively participate in addressing societal challenges.,23.011837688724512,0.0016965354384791459,1.5138888888888888,1.25,0.375,1.4285714285714286,0.6666666666666666,1.8888888888888888,1.4375,1.5333333333333334,1.25,0.007830163562211443
T03,T,Students should disclose the use of AI in assignments and reports.,22.751244451879526,0.0018831791427185273,1.492063492063492,0.9166666666666666,0.625,0.2857142857142857,0.6666666666666666,1.7777777777777777,1.25,1.3333333333333333,1.0,0.008070767754507975
S06,S,"Combating online misinformation requires shared responsibility among users, platforms, and governments.",21.73170212068321,0.0028254696476504504,1.0625,1.0,1.75,1.2857142857142858,1.0,1.6666666666666667,1.9375,1.4,0.875,0.011301878590601801
V10,V,Consumers should consider environmental impact when purchasing products.,21.461027398744278,0.003144488044722858,1.0916666666666668,0.6666666666666666,0.625,1.4285714285714286,0.9166666666666666,1.2222222222222223,1.625,0.5333333333333333,1.375,0.011630167540553796
V09,V,"Products should be designed to encourage reuse, repair, and recycling.",21.26369739248187,0.003398852578604153,0.9166666666666667,1.1666666666666667,1.875,1.8571428571428572,1.0833333333333333,1.6666666666666667,2.0,1.6,1.75,0.011630167540553796
S08,S,Diverse teams generally make better decisions than homogeneous teams.,21.146105999321417,0.003559818612757684,1.775,1.25,0.25,1.0,0.6666666666666666,1.0,1.3125,1.4,-0.375,0.011630167540553796
T10,T,Protection of personal data is more important than technological convenience.,21.05963257156638,0.003682886387842035,1.6388888888888888,1.1666666666666667,0.25,1.1428571428571428,0.75,1.8888888888888888,1.5,1.1333333333333333,1.5,0.011630167540553796
E05,E,Students should be encouraged to take courses outside their primary discipline.,20.437666869365312,0.004698000326852331,1.4642857142857142,1.3333333333333333,0.625,1.7142857142857142,0.5833333333333334,1.1111111111111112,1.5625,1.2,0.25,0.014094000980556992
S05,S,Individuals should have greater control over how their personal data are collected and used.,20.167791482330777,0.005218434355048174,0.8888888888888888,1.5833333333333333,1.5,1.4285714285714286,1.0,1.8888888888888888,1.875,1.8,1.875,0.014909812442994783
E01,E,Project-based learning develops deeper understanding than examination-oriented learning.,19.74062835099839,0.006158027936881726,1.5,1.8333333333333333,1.25,2.0,1.0833333333333333,1.5555555555555556,1.5625,0.8666666666666667,0.5,0.016449930543827537
S14,S,Leaders should prioritize ethical decision-making even when it reduces short-term gains.,19.679247949383672,0.006305806708467223,1.1666666666666665,0.5833333333333334,1.5,1.2857142857142858,1.0833333333333333,1.4444444444444444,1.75,1.3333333333333333,1.25,0.016449930543827537
T13,T,Cybersecurity deserves greater investment than the development of new digital technologies.,19.47070070936575,0.0068339217351722666,1.3392857142857144,1.1666666666666667,0.5,0.2857142857142857,0.6666666666666666,1.2222222222222223,1.5,0.8,1.625,0.017084804337930668
S13,S,Critical evaluation of online information should be taught as a core educational skill.,18.66998568308085,0.009286474375209982,0.8666666666666667,1.0,1.5,1.4285714285714286,0.9166666666666666,1.6666666666666667,1.625,0.8,1.5,0.022287538500503957
V12,V,Environmental sustainability should be integrated into higher education curricula.,18.510604554680786,0.00986683535896022,0.9583333333333334,0.6666666666666666,0.75,1.5714285714285714,1.0,1.1111111111111112,1.625,0.8,1.5,0.02276962005913897
S11,S,People should be free to express differing opinions as long as they do not promote harm or discrimination.,18.379127758607222,0.010371664183829968,0.7916666666666667,1.25,1.5,1.8571428571428572,1.0833333333333333,1.6666666666666667,1.875,1.6,1.625,0.023048142630733265
V08,V,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,18.1617998269928,0.01126093449907373,0.8125,0.9166666666666666,0.875,1.5714285714285714,1.0833333333333333,1.6666666666666667,1.6875,1.0666666666666667,1.5,0.024130573926586567
E09,E,Collaborative learning is generally more effective than individual learning.,18.060482111363058,0.011700078902902748,1.3035714285714286,1.25,0.125,1.4285714285714286,0.5833333333333334,1.3333333333333333,1.0625,0.26666666666666666,0.375,0.024207059799109133
V07,V,Protecting biodiversity is essential for long-term human well-being.,16.985957624533164,0.017486955242550853,0.9166666666666667,1.3333333333333333,1.25,2.0,1.0833333333333333,1.8888888888888888,1.75,1.4666666666666666,1.375,0.034973910485101706
E08,E,Maintaining academic honesty is more important than obtaining high grades.,16.061558306219652,0.02455986732807081,1.0694444444444444,1.25,1.625,1.1428571428571428,1.1666666666666667,0.5555555555555556,1.625,1.4,0.875,0.047535227086588666
T08,T,AI-assisted diagnosis should become routine in healthcare.,15.730842080391549,0.02769246388974914,1.25,-0.16666666666666666,-0.75,0.2857142857142857,0.5,0.4444444444444444,-0.5,0.4,0.5,0.05192336979327963
T01,T,Artificial Intelligence will improve society more than it will create problems.,14.890709754952745,0.037426144370394356,1.1458333333333333,0.6666666666666666,0.25,1.0,1.0833333333333333,0.4444444444444444,-0.0625,1.0,0.75,0.06793715904737421
T06,T,Most repetitive jobs will eventually be replaced by intelligent automation.,14.811158132655342,0.038497723460178726,1.1666666666666665,1.25,1.75,1.4285714285714286,0.5833333333333334,1.4444444444444444,1.0625,1.0666666666666667,1.625,0.06793715904737421
E13,E,Universities should invest more resources in research than in expanding infrastructure.,14.65641377761449,0.04066473304421464,1.5,0.5,-0.5,1.0,0.6666666666666666,0.1111111111111111,0.5,0.3333333333333333,-0.25,0.06971097093293938
T15,T,Society will increasingly depend on AI-assisted decision making.,14.506162710252928,0.04287721068501362,0.9166666666666666,0.8333333333333334,1.75,0.8571428571428571,1.25,1.6666666666666667,0.9375,1.1333333333333333,1.375,0.07146201780835604
E15,E,Continuous learning and skill development are essential throughout one's career.,14.374501008132764,0.04490756924073816,0.75,1.8333333333333333,2.0,1.7142857142857142,1.25,1.7777777777777777,1.75,1.8666666666666667,1.5,0.07282308525525108
T05,T,Artificial Intelligence will significantly accelerate scientific discovery.,13.02009027777781,0.07162040551496689,1.0416666666666665,1.1666666666666667,1.25,1.4285714285714286,0.5833333333333334,1.3333333333333333,0.875,1.5333333333333334,1.625,0.1130848508131056
S02,S,Universities should encourage students to participate in community service activities.,12.863334132250287,0.07550907337692411,1.4444444444444444,0.9166666666666666,0.125,1.1428571428571428,0.8333333333333334,1.4444444444444444,1.25,0.6666666666666666,0.0,0.11586255075758685
E06,E,Every undergraduate student should participate in at least one research project.,12.79584129211778,0.0772417005050579,1.5714285714285714,0.75,1.0,1.5714285714285714,1.0,0.0,1.0,0.8666666666666667,0.875,0.11586255075758685
V04,V,Public transportation and non-motorized transport should be promoted even if they require additional public investment.,12.02482570766754,0.09974541166430975,0.861111111111111,0.9166666666666666,1.5,1.4285714285714286,1.25,1.7777777777777777,1.6875,1.2,1.5,0.14476862953041517
T04,T,Every engineering student should receive formal education in AI.,11.976387999418627,0.10133804067129062,0.9652777777777777,1.0833333333333333,1.5,1.1428571428571428,1.3333333333333333,1.7777777777777777,0.8125,1.0666666666666667,1.375,0.14476862953041517
V02,V,Governments should prioritize investment in renewable energy over fossil fuels.,11.545811159550807,0.11651956605014044,0.8958333333333334,0.9166666666666666,1.5,1.2857142857142858,1.3333333333333333,1.6666666666666667,1.8125,1.6,1.25,0.16071826695279734
V03,V,Individuals should actively reduce their personal energy consumption.,11.453933482545038,0.12000779615223814,1.0285714285714285,0.75,1.375,1.4285714285714286,0.8333333333333334,1.2222222222222223,1.1875,0.4,1.0,0.16071826695279734
V06,V,"Water conservation should be a priority in households, institutions, and industries.",11.440156383195161,0.12053870021459799,0.55,1.3333333333333333,1.75,1.5714285714285714,1.4166666666666667,1.6666666666666667,1.75,1.2,1.75,0.16071826695279734
E07,E,"Publishing research before graduation should be encouraged, but not mandatory.",11.23436529015636,0.12871780492401377,0.7976190476190476,0.9166666666666666,1.375,1.7142857142857142,1.0833333333333333,1.6666666666666667,1.5,1.2666666666666666,1.0,0.1678927890313223
S03,S,New technologies should be evaluated for their societal impact before widespread deployment.,11.03203478145618,0.13722777040404696,1.0,1.3333333333333333,1.625,1.2857142857142858,1.3333333333333333,1.6666666666666667,1.375,0.6666666666666666,1.125,0.17390276279766104
V05,V,Single-use plastics should be significantly restricted.,10.9884822274176,0.13912221023812882,1.0,1.3333333333333333,1.75,1.4285714285714286,0.75,1.6666666666666667,1.625,1.4,1.125,0.17390276279766104
T11,T,Technology companies should explain how recommendation algorithms work.,10.369990468254422,0.16855787046559356,0.875,0.8333333333333334,0.625,1.2857142857142858,1.0833333333333333,1.3333333333333333,1.5,1.1333333333333333,1.375,0.20639739240684926
S07,S,Equal opportunities should be prioritized regardless of a person's background.,10.159518936574957,0.17971247395709686,0.9404761904761906,1.25,1.75,1.8571428571428572,0.9166666666666666,1.5555555555555556,1.6875,1.2666666666666666,1.5,0.21565496874851622
V01,V,Climate change requires immediate global action.,9.178989097980617,0.24005960571004073,0.75,1.25,2.0,1.7142857142857142,1.3333333333333333,1.6666666666666667,1.5625,1.5333333333333334,1.375,0.28242306554122437
T07,T,Robots should replace humans in hazardous occupations whenever possible.,8.658259098215858,0.278131441582549,1.0476190476190474,0.6666666666666666,0.875,1.7142857142857142,1.1666666666666667,1.3333333333333333,1.25,1.6,1.0,0.32092089413371033
V15,V,Current generations have a responsibility to protect natural resources for future generations.,8.11649992419816,0.3224333125777335,0.5833333333333333,1.3333333333333333,1.75,1.5714285714285714,1.1666666666666667,1.6666666666666667,1.6875,1.5333333333333334,1.5,0.361716851676336
S15,S,Building public trust is essential for responsible adoption of emerging technologies.,8.080545050719845,0.3255451665087024,0.8095238095238096,0.9166666666666666,1.375,0.8571428571428571,1.3333333333333333,1.6666666666666667,1.5,1.0,1.25,0.361716851676336
T02,T,Generative AI tools should be allowed as learning aids in higher education.,7.611768824719095,0.36806824619009515,0.9444444444444444,0.9166666666666666,1.125,1.1428571428571428,1.4166666666666667,1.4444444444444444,0.5,0.8666666666666667,1.25,0.4015289958437402
S10,S,Scientific evidence should play an important role in public policy decisions.,7.338770870514976,0.39447942451710605,0.611111111111111,1.0,1.375,1.4285714285714286,0.8333333333333334,1.4444444444444444,1.375,1.2666666666666666,1.375,0.4226565262683279
E12,E,Artificial intelligence should be integrated into teaching and personalized learning.,7.222888321850938,0.40604777544043685,0.7499999999999999,1.0833333333333333,1.25,1.1428571428571428,0.5833333333333334,1.3333333333333333,0.6875,1.0,0.625,0.4274187109899335
S01,S,Every individual has a responsibility to contribute positively to society.,5.364835205665205,0.6155333259029795,0.625,1.25,1.25,1.2857142857142858,1.3333333333333333,1.2222222222222223,1.625,1.0666666666666667,1.0,0.6367586130030822
S04,S,Technology companies should be accountable for unethical use of their platforms.,5.276761597223269,0.6262287410718291,0.875,1.0,1.25,1.1428571428571428,0.75,0.8888888888888888,1.625,1.1333333333333333,1.25,0.6368427875306737
E14,E,Strong collaborations between universities and industry improve student education.,3.9965914170664574,0.7801699277956843,0.5833333333333333,1.5833333333333333,1.625,1.5714285714285714,1.1666666666666667,1.6666666666666667,1.4375,1.6,1.75,0.7801699277956843
