code,topic,mean,std,pct_agree,pct_disagree,pct_neutral,statement,topic_name,polarisation
T01,T,0.6206896551724138,0.9911395756300484,67.81609195402298,12.643678160919542,19.54022988505747,Artificial Intelligence will improve society more than it will create problems.,Technology & AI,0.9911395756300484
T02,T,1.0229885057471264,0.9997326560572464,80.45977011494253,9.195402298850574,10.344827586206897,Generative AI tools should be allowed as learning aids in higher education.,Technology & AI,0.9997326560572464
T03,T,1.0344827586206897,0.8133804833814183,77.01149425287356,2.2988505747126435,20.689655172413794,Students should disclose the use of AI in assignments and reports.,Technology & AI,0.8133804833814183
T04,T,1.206896551724138,0.850962943396763,80.45977011494253,2.2988505747126435,17.24137931034483,Every engineering student should receive formal education in AI.,Technology & AI,0.850962943396763
T05,T,1.1839080459770115,0.9216862154867189,80.45977011494253,5.747126436781609,13.793103448275861,Artificial Intelligence will significantly accelerate scientific discovery.,Technology & AI,0.9216862154867189
T06,T,1.206896551724138,0.8910136771649175,87.35632183908046,5.747126436781609,6.896551724137931,Most repetitive jobs will eventually be replaced by intelligent automation.,Technology & AI,0.8910136771649175
T07,T,1.206896551724138,1.0470104843268269,82.75862068965517,9.195402298850574,8.045977011494253,Robots should replace humans in hazardous occupations whenever possible.,Technology & AI,1.0470104843268269
T08,T,0.06896551724137931,1.0974929511695648,36.7816091954023,27.586206896551722,35.63218390804598,AI-assisted diagnosis should become routine in healthcare.,Technology & AI,1.0974929511695648
T09,T,0.26436781609195403,0.9457342430551173,41.37931034482759,19.54022988505747,39.08045977011494,Autonomous vehicles will ultimately make transportation safer.,Technology & AI,0.9457342430551173
T10,T,1.1839080459770115,0.8830277673764089,81.60919540229885,4.597701149425287,13.793103448275861,Protection of personal data is more important than technological convenience.,Technology & AI,0.8830277673764089
T11,T,1.160919540229885,0.874357747260888,82.75862068965517,6.896551724137931,10.344827586206897,Technology companies should explain how recommendation algorithms work.,Technology & AI,0.874357747260888
T12,T,1.0574712643678161,1.0041347292058074,78.16091954022988,9.195402298850574,12.643678160919542,Governments should introduce stricter regulations for Artificial Intelligence.,Technology & AI,1.0041347292058074
T13,T,1.0114942528735633,0.8956516774350215,67.81609195402298,3.4482758620689653,28.735632183908045,Cybersecurity deserves greater investment than the development of new digital technologies.,Technology & AI,0.8956516774350215
T14,T,1.5057471264367817,0.7757001821069248,90.80459770114942,2.2988505747126435,6.896551724137931,Social media algorithms contribute to opinion polarization.,Technology & AI,0.7757001821069248
T15,T,1.1839080459770115,0.7705138067094309,82.75862068965517,2.2988505747126435,14.942528735632186,Society will increasingly depend on AI-assisted decision making.,Technology & AI,0.7705138067094309
E01,E,1.3218390804597702,0.9085415462408178,83.9080459770115,6.896551724137931,9.195402298850574,Project-based learning develops deeper understanding than examination-oriented learning.,Education,0.9085415462408178
E02,E,-0.16091954022988506,1.1193183475751618,32.18390804597701,42.5287356321839,25.287356321839084,Traditional written examinations accurately measure a student's knowledge.,Education,1.1193183475751618
E03,E,-0.9425287356321839,1.124322243792051,12.643678160919542,70.11494252873564,17.24137931034483,Class attendance should be compulsory for all courses.,Education,1.124322243792051
E04,E,0.4367816091954023,1.1683933455349718,54.02298850574713,27.586206896551722,18.39080459770115,High-quality online learning can effectively complement classroom teaching.,Education,1.1683933455349718
E05,E,1.0919540229885059,0.897440597348098,81.60919540229885,6.896551724137931,11.494252873563218,Students should be encouraged to take courses outside their primary discipline.,Education,0.897440597348098
E06,E,0.8735632183908046,0.9499644754820539,70.11494252873564,9.195402298850574,20.689655172413794,Every undergraduate student should participate in at least one research project.,Education,0.9499644754820539
E07,E,1.2988505747126438,0.7488742330640975,85.0574712643678,1.1494252873563218,13.793103448275861,"Publishing research before graduation should be encouraged, but not mandatory.",Education,0.7488742330640975
E08,E,1.2528735632183907,0.7956040677781021,82.75862068965517,2.2988505747126435,14.942528735632186,Maintaining academic honesty is more important than obtaining high grades.,Education,0.7956040677781021
E09,E,0.7931034482758621,1.035845133375066,62.06896551724138,10.344827586206897,27.586206896551722,Collaborative learning is generally more effective than individual learning.,Education,1.035845133375066
E10,E,1.528735632183908,0.6961535593058392,94.25287356321839,1.1494252873563218,4.597701149425287,Universities should prioritize innovation and problem-solving over rote learning.,Education,0.6961535593058392
E11,E,1.6206896551724137,0.6332158475140234,94.25287356321839,1.1494252873563218,4.597701149425287,University curricula should be updated more frequently to match emerging technologies.,Education,0.6332158475140234
E12,E,0.9310344827586207,1.031967002450151,73.5632183908046,11.494252873563218,14.942528735632186,Artificial intelligence should be integrated into teaching and personalized learning.,Education,1.031967002450151
E13,E,0.3333333333333333,0.9359321515195757,36.7816091954023,12.643678160919542,50.57471264367817,Universities should invest more resources in research than in expanding infrastructure.,Education,0.9359321515195757
